사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
201905,중앙선,운길산,1,0,281,144,945,726,2040,1214,2482,2231,1364,3629,1367,4644,1573,3714,1661,2666,2367,1511,3209,1811,3764,1436,3795,1601,3457,1316,2512,1471,1480,1472,1068,957,653,889,274,904,90,561,3,241,0,0,0,0,0,0,20190603
201905,3호선,구파발,115,6,11443,1897,34534,11878,100440,27560,98188,36117,54741,33986,36306,30645,33123,27751,35180,29091,33614,30992,32995,30874,34856,32729,42908,39780,45842,47099,40416,74667,26727,70560,20931,42564,18713,39318,15666,37040,5375,26462,871,8951,2,824,87,122,0,0,20190603
201905,2호선,잠실새내,28,0,6689,1178,20507,8721,70659,19232,96339,31955,59855,35717,40452,28612,38354,30956,39959,36110,39746,40595,35572,43795,36584,48290,42634,56230,44921,72880,51953,105073,40215,85044,36917,52356,44789,45696,40100,43262,25070,24442,4505,9271,1,28,0,0,0,0,20190603
201905,4호선,성신여대입구(돈암),70,9,6951,2007,22260,8244,58018,21580,71614,56984,48074,36589,36687,30748,37209,42323,42591,34058,42444,37464,44837,41734,48344,41665,50272,47747,61892,60981,68942,82112,45784,71070,40420,45902,41355,40807,39061,41963,19950,30480,3464,7990,2,11,1,5,0,0,20190603
201905,1호선,서울역,1148,21,11958,10579,15684,61286,44585,115354,89357,238583,68146,171350,73525,94790,92022,85227,101383,89704,102975,93903,87681,89304,115315,91208,123612,95981,167329,105879,253795,113369,144348,84947,103166,63630,101273,54836,77000,41500,37939,22083,4127,7762,3,548,0,0,0,0,20190603
201905,경원선,덕계,0,0,2351,530,6382,2297,12800,2789,12037,3582,5967,2648,5042,2050,4114,1826,4085,2638,3614,2016,3107,3006,3444,3473,3615,5361,4673,5118,3842,7575,2036,6689,1415,5657,788,4142,579,3975,310,3235,12,849,0,0,0,0,0,0,20190603
201905,경원선,양주,1504,4,6870,1725,16824,7344,41175,14845,39699,15145,29052,10639,20839,10079,17811,8254,17217,11059,16593,11154,13252,12043,13868,14289,14644,18481,16873,20482,19828,27972,11131,27731,6361,20951,4938,16044,3443,17997,1194,11217,72,4585,0,0,0,0,0,0,20190603
201905,경의선,효창공원앞,3,0,695,244,2183,1914,5033,4615,6641,17253,4776,10010,3328,5670,3329,4163,3786,3931,4228,3920,3982,3925,4913,3562,6749,4231,7385,4844,14052,7344,7335,5902,4400,4245,3865,4153,3102,4240,1433,2817,116,651,0,0,0,0,0,0,20190603
201905,5호선,애오개,1,0,2855,542,6626,3917,22123,11065,30177,34065,15643,14088,10983,9498,10976,7565,11045,7785,11773,9691,11256,9778,11992,10450,12520,11914,15101,14614,26723,24704,10756,17751,7935,11334,6943,10424,5495,10675,2223,6545,275,3574,1,571,0,0,0,0,20190603
201905,5호선,동대문역사문화공원,1,0,283,380,768,2786,975,9769,2028,36270,2378,11805,2675,4362,3465,3658,2505,3532,2532,3993,3219,3442,3839,3040,4389,2756,9945,3405,22398,3628,9792,2548,5166,1655,4552,1679,3404,1974,1362,1358,320,393,0,9,0,0,0,0,20190603
201905,경부선,용산,568,15,7411,7124,7468,44534,24589,92774,36782,176975,46070,123159,41316,92907,53669,79897,53696,79138,68536,86050,67129,83041,95172,81162,105484,82026,132417,84943,183535,100680,120393,67104,113056,46618,106152,37751,72557,25125,31569,10588,2030,4025,1,0,0,0,0,0,20190603
201905,경강선,신둔도예촌,1,0,524,83,1978,431,4646,1994,4533,4703,2850,3212,2498,1533,2012,1737,3125,1963,2721,1618,2324,1573,2554,1910,3708,2075,5358,2804,3930,3443,1704,3630,1161,2464,1051,2635,552,2274,184,2002,0,1,0,0,0,0,0,0,20190603
201905,7호선,논현,36,0,4202,1474,6251,17352,11393,47802,19705,130544,17618,104453,14839,40704,16318,26582,18173,24801,21088,27632,24292,25117,28444,23851,31235,25854,49575,30895,109203,41584,67222,28690,42527,17144,45530,13653,43960,11445,23286,7571,4498,3094,0,0,0,0,0,0,20190603
201905,7호선,반포,5,0,1397,746,4078,7108,11283,13465,16553,25644,11795,20960,8245,11344,8125,11334,9435,13033,10470,11537,10590,10585,12434,10869,16245,11770,18675,12330,22437,14900,15756,10987,12349,7041,13968,6127,11101,6184,3480,3753,528,1268,0,0,0,0,0,0,20190603
201905,경강선,부발,1,0,879,12,2484,1422,5666,5378,5522,6557,3920,2007,3406,1738,3008,1779,3277,1830,2829,2013,2723,2147,3595,2449,4583,3255,6034,4085,6997,4296,2750,5225,2350,3886,1707,3441,1196,3255,452,2897,5,1501,0,0,0,0,0,0,20190603
201905,경원선,의정부,2767,12,11786,2217,24621,11668,51852,18386,51254,41602,35600,45906,30673,37502,33029,40897,36003,42802,38431,47865,40980,45267,45858,42732,52498,52015,54992,58064,57325,65492,41589,66974,39548,43509,30662,33073,24436,28399,12329,18642,943,11998,0,0,0,0,0,0,20190603
201905,장항선,아산,11,0,795,814,2433,3188,8943,5368,6577,6834,6601,6946,4397,6596,5233,6902,5873,4635,5658,7582,6531,3781,9231,7186,7490,3551,9699,10184,11404,7447,8643,7579,6509,5802,7261,3779,4957,3404,3099,2754,799,1213,0,0,0,0,0,0,20190603
201905,6호선,증산(명지대앞),14,1,9113,953,17395,4489,47165,6112,56338,13068,31081,11115,20661,10580,17478,9716,17436,11728,17300,12321,14559,14401,14166,16845,15384,23223,16132,27254,16832,41242,10793,37612,8157,24602,6825,22325,5926,23931,2590,15632,507,4685,1,734,0,0,0,0,20190603
201905,6호선,새절(신사),1,1,11557,917,23291,6282,62700,12374,73766,20818,38372,19552,26108,12663,23113,13867,23726,15041,22549,18621,19007,18320,18979,21137,25013,27772,25614,35940,22638,51038,14151,49608,11254,31874,10390,27884,9108,30115,3687,19229,614,5798,2,1865,0,0,0,0,20190603
201905,6호선,구산,5,0,5928,230,12937,2524,34355,9904,41226,7676,23042,6386,15402,6216,13892,7099,15035,7789,12850,8314,10997,9667,12776,10528,13732,14206,12800,15505,11268,21067,7470,22049,5741,12946,5436,10102,5269,10546,1799,7507,281,2729,0,3,0,0,0,0,20190603
